                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.1833,                  1.021,                  1.235,                0.80228,                0.63245,                0.72223,                0.47562,                 1.3058,                  0.964,                 1.3821,              0.0090622,              0.0090622,              0.0090622
                     99,                 1.1854,                 1.0048,                 1.2212,                0.82046,                0.69861,                0.77114,                0.50954,                 1.3033,                0.89784,                 1.3457,              0.0090525,              0.0090525,              0.0090525
                    100,                   1.22,                 1.0231,                 1.2472,                0.76034,                0.64681,                0.74071,                0.49152,                 1.2775,                 1.1062,                 1.3343,              0.0090429,              0.0090429,              0.0090429
                    101,                 1.2184,                 1.0275,                 1.2294,                0.78693,                0.64642,                0.73255,                0.48047,                 1.2654,                 1.0339,                 1.3495,              0.0090332,              0.0090332,              0.0090332
                    102,                 1.2115,                 1.0175,                   1.24,                0.87254,                0.59182,                0.73204,                0.47181,                 1.3789,                 1.1019,                 1.4284,              0.0090235,              0.0090235,              0.0090235
                    103,                 1.2337,                 1.0426,                 1.2618,                0.78208,                0.66782,                0.72178,                0.45431,                 1.3578,                 1.0341,                 1.4225,              0.0090139,              0.0090139,              0.0090139
                    104,                 1.1713,                0.93957,                 1.2051,                 0.8476,                0.67954,                0.74471,                0.49135,                 1.2996,                0.92678,                 1.3575,              0.0090042,              0.0090042,              0.0090042
                    105,                 1.1861,                0.93268,                 1.2008,                0.77209,                0.73781,                0.75491,                0.48969,                 1.2796,                0.91531,                 1.3783,              0.0089945,              0.0089945,              0.0089945
                    106,                 1.1719,                0.91621,                 1.2102,                0.79134,                0.69679,                0.77542,                0.48738,                 1.3622,                0.93539,                 1.4127,              0.0089849,              0.0089849,              0.0089849
                    107,                 1.2127,                0.98858,                 1.2249,                0.87353,                0.68598,                0.76908,                0.50479,                 1.3037,                0.93206,                 1.3828,              0.0089752,              0.0089752,              0.0089752
                    108,                 1.1671,                 0.9698,                 1.2202,                 0.8304,                0.62023,                0.73926,                  0.494,                 1.2864,                 0.9046,                 1.3413,              0.0089655,              0.0089655,              0.0089655
                    109,                 1.1696,                0.96533,                 1.2027,                0.80118,                0.70199,                0.76489,                0.50537,                 1.2416,                0.89904,                 1.3266,              0.0089559,              0.0089559,              0.0089559
